Tagalog,English
salita,word
tignan,look
pagdating,arrival
sakit,disease
dagat,sea
panganib,danger
magkaroon,to have
subukan,try
hot,hot
bahala,take care
ganun,like that
wangdu,wangdu
tabi,aside
ibigay,give
nahanap,found
aba,"oh, oh"
krus,cross
chanchad,chanchad
nyang,his/her
papunta,going
puno,tree
mangyayari,will happen
please,please
galit,anger
litrato,photo
mahilig,fond of
dog,dog
daw,it seems
maalala,remember
bakla,queer
iligtas,rescue
whoa,whoa
dragon,dragon
narito,here
mag,to
pamamagitan,mediation
nahuli,caught
pum,pum
kagabi,last night
up,up
pagiging,being
control,control
tuwing,every time
sina,those
honey,honey
ayoko,I don't want to
sulat,letter
naririnig,audible
kada,per
ilog,river
hubad,naked
tunay,real
handa,ready
laman,flesh
susi,key
kesa,than
lawa,lake
punta,go
good,good
kakaiba,strange
bayag,testicles
dali,quickly
ilan,some
nagtatrabaho,working
katawan,body
bears,bear
turbo,turbo
nakaraan,past
inumin,drink
pabilis,speeding up
buti,good
batang,young
hinahanap,looking for
lampin,diaper
gamitin,use
sugita,ask
tandaan,remember
katotohanan,truth
orc,orc
papatayin,to be killed
sigaw,shout
jin-hee,Jin-hee
panginoon,lord
sweetie,sweetie
kailanman,ever
estudyante,student
out,out
soo-an,soo-an
muli,again
mahalaga,important
pasensya,patience
guwapong,handsome
um,um
eto,here
sundalo,soldier
mata,eye
pati,also
maari,possible
zombie,zombie
gaya,like
are,are
malalaman,to be known
mangyari,happen
butler,butler
puro,pure
kinuha,taken
nakakatakot,scary
kaarawan,birthday
nun,now
mabuhay,to live
gaano,how much
naaalala,remembers
pangunahing,main
patawarin,forgive
mona,here
planeta,planet
ma,yes
titi,penis
uncensored,uncensored
langis,oil
baril,gun
baba,lower
kuya,brother
nagkaroon,had
dalhin,bring
tiwala,trust
for,for
populasyon,population
phone,phone
masamang,bad
sarap,delicious
pagod,tired
gayon,so
papuntang,to
naintindihan,understood
mahusay,good
kaguluhan,chaos
ibinigay,given
gago,stupid
engineering,engineering
kim,Kim
mag-isa,alone
itsura,appearance
kabundukan,mountains
pwedeng,can
pusa,cat
bumili,buy
natutuwa,happy
libro,book
pasko,Christmas
tuloy,continuous
ina,mother
una,first
tumayo,stand
sasama,will come
magkita,meet
facebook,facebook
nyong,yours
palm,palm
kwento,story
dadaan,will pass by
simula,beginning
andito,here
contestant,contestant
bundok,mountain
extra,extra
mahahanap,findable
hi,hello
hesus,Jesus
himura,curse
ganitong,like this
tumakbo,run
chief,chief
kalaban,opponent
tumabi,step aside
uri,type
yon,that
baliw,crazy
itlog,egg
maintindihan,understand
opisina,office
palakpakan,applause
pag-ibig,love
lumaki,grow up
dating,former
aya,nurse
apoy,fire
pen,pen
naalala,remembered
ring,ring
nasan,where
kapoor,poor
gutom,hunger
sexy,sexy
ate,sister
gidget,gidget
emergency,emergency
gawa,work
kaoru,Kaoru
director,director
ulan,rain
labi,lips
inay,mother
eagle,eagle
ice,ice
huminahon,calm down
tiny,tiny
tapusin,finish
mataas,high
ipapakita,to be shown
yaman,wealth
naghahanap,looking for
ginagamit,used
sampung,ten
mawala,disappear
lalo,especially
naninirahan,resident
panting,panting
syudad,city
isipin,think
nakakatawa,funny
exam,exam
mabait,kind
kahoy,wood
sumunod,follow
totoong,real
sapat,enough
seryoso,serious
masasabi,can be said
ding,also
dadalhin,will be brought
pigilan,prevent
nagsimula,started
magaralgal,screaming
pranses,France
libo,thousand
viper,viper
datu,old man
pag-asa,hope
mahanap,find
magnanakaw,thief
itigil,stop
time,time
makapaniwalang,believable
karagatan,ocean
bilbo,bilbo
tarantado,frantic
pong,pong
sinira,broken
plano,plan
ibaba,bottom
lumayo,stay away
syempre,of course
tong,tong
nalalaman,known
nagiging,becoming
e-mail,email
carbon,carbon
nilalang,creature
bola,ball
ideya,idea
mister,husband
ginamit,used
paborito,favorite
ewan,I don't know.
pataas,up
sex,sex
joy,joy
halimbawa,for example
itim,black
gotta,must
umupo,sit down
halaman,plant
relasyon,relationship
hinihintay,waiting
suot,wearing
huminto,stop
aalis,leaving
balita,news
sira,broken
buddy,buddy
tatlo,three
klase,class
pagkakamali,mistake
natural,naturally
pool,pool
tamang,correct
binaril,shot
sumasayaw,dancing
nilason,poisoned
kalikasan,nature
chuckles,chuckles
misyon,mission
yata,I guess
snowball,snowball
bosselet,bosselett
alisin,remove
naglagay,placed
mahabang,long
kin,me
paalam,goodbye
aktor,actor
rastogi,rust
nag,did
thanksgiving,Thanksgiving
dubai,Dubai
tinatawag,called
cam,camera
silencer,silencer
bumaba,go down
nakilala,met
is,is
hingal,gasp
vacuum,vacuum
siguradong,definitely
pagpunta,going
tagumpay,success
kuneho,rabbit
dala,carried
apat,four
ikot,round
malayo,far away
bartender,bartender
iori,Iori
tanggapin,accept
sama,together
limang,five
alalahanin,worry
where,where
kainin,eat
pabayaan,neglect
banda,band
pasok,school
bar,bar
kili,armpit
sandata,weapon
gagawa,will do
springs,spring
boyfriend,boyfriend
danny,Danny
matapos,finish
kayamanan,wealth
ingat,take care
itay,dad
rechampot,rechampot
pantalon,pants
nanalo,winner
espesyal,special
linya,line
libong,thousand
maniwala,believe
niyan,that
computer,computer
grado,grade
pansinin,pay attention
gunggong,dumb
tugtog,music
pagkamatay,death
trainer,trainer
madali,easy
karapatan,right
umaasa,hoping
pinili,chosen
pendleton,pendleton
marahil,perhaps
school,school
new,new
isda,fish
pagdiriwang,celebration
scooter,scooter
halaga,value
kapangyarihan,power
raw,raw
paggawa,work
martini,martini
gumising,wake up
sala,living room
nababaliw,going crazy
hihinto,stop
klima,climate
umuwi,go home
gabing,night
sigurong,probably
tinitingnan,looking at
puntahan,go to
nakakaraan,ago
maligayang,happy
hawak,holding
isipol,whistle
impormasyon,information
nanganganib,in danger
pinadala,sent
chloe,Chloe
relo,watch
lihim,secret
butas,hole
lumang,old
pinuno,leader
espadang,sword
makarating,arrive
okubo,squat
sinubukan,tried
nagawa,done
brad,brother
web,web
nagtatago,hiding
bisita,guest
college,college
utot,flatulence
and,and
naglaro,played
laptop,laptop
importante,important
kakaibang,strange
utos,command
nakakatuwa,funny
tumakas,run away
katapusan,end
in,in
san,where
binigyan,given
nakakita,saw
magkano,how much
birthday,birthday
pops,pops
sumakay,ride
kalahati,half
mawawala,will be lost
tanungin,ask
magalala,worry
balik,back
asan,where
naiisip,conceivable
maghanap,search
sitwasyon,situation
utak,brain
nawawala,missing
species,species
ibon,bird
boss,boss
pintuan,door
tatawagin,will be called
ahas,snake
non,no
isip,mind
langit,sky
bard,bard
